p,d,q,aic,mse
4.0,1.0,10.0,15487.621116967617,241.5409630299658
5.0,0.0,1.0,15507.777455609672,214.5759836109503
5.0,0.0,2.0,15507.481656875752,213.6166922570048
5.0,0.0,3.0,15511.861762679287,215.51858859843375
5.0,0.0,4.0,15595.164117258802,206.35328338995828
5.0,0.0,5.0,15510.663058248076,215.90413856587014
5.0,0.0,6.0,15514.023149015862,215.6555923177561
5.0,0.0,7.0,15504.395870279943,220.61361526970853
5.0,0.0,8.0,15499.321692219633,215.41626214425648
5.0,0.0,9.0,15515.562591760583,214.44687315667397
5.0,0.0,10.0,15490.984164855983,218.4584173279127
5.0,1.0,1.0,15509.136812920036,241.44469128626577
5.0,1.0,2.0,15508.398326688632,240.96400595787378
5.0,1.0,3.0,15497.079778273583,248.02811206912168
5.0,1.0,4.0,15501.430302421857,247.1018674873156
5.0,1.0,5.0,15507.397066443358,229.34726099685736
5.0,1.0,6.0,15514.268731518328,250.7056693512651
5.0,1.0,7.0,15504.80501275654,246.78463730039962
5.0,1.0,8.0,15498.178064921143,236.83603330387436
5.0,1.0,9.0,15514.003185550764,241.66558506279813
5.0,1.0,10.0,15492.614388347694,245.91754313628354
6.0,0.0,1.0,15509.770659337048,214.34486025089086
6.0,0.0,2.0,15509.19231864428,212.56541412444852
6.0,0.0,3.0,15505.978207354077,215.43774547805168
6.0,0.0,4.0,15512.594180897275,216.4290871315013
6.0,0.0,5.0,15500.740098167504,217.23994811810985
6.0,0.0,6.0,15515.868879638027,216.1431607365477
6.0,0.0,7.0,15505.444009968785,219.2496403230383
6.0,0.0,8.0,15498.49907305616,215.0511855349798
6.0,0.0,9.0,15517.117751069278,215.81251769509583
6.0,0.0,10.0,15493.17694233804,216.01240877571698
6.0,1.0,1.0,15510.6972911158,242.16608580616816
6.0,1.0,2.0,15512.498925699507,241.92271846370815
6.0,1.0,3.0,15502.037384696448,243.95721988075258
6.0,1.0,4.0,15498.637023967818,244.0312168061632
6.0,1.0,5.0,15513.574197723556,242.30091386560508
6.0,1.0,6.0,15517.589748936964,244.9070227107933
6.0,1.0,7.0,15507.798056097088,245.98065000496538
6.0,1.0,8.0,15494.853816528455,246.06920398096057
6.0,1.0,9.0,15497.508584498504,239.75079528245737
6.0,1.0,10.0,15493.133876369571,244.82486881378858
7.0,0.0,1.0,15511.337670367717,211.740248499496
7.0,0.0,2.0,15511.299468520698,213.9951343094933
7.0,0.0,3.0,15507.665567867822,216.93119678729101
7.0,0.0,4.0,15513.835350352563,215.54379966216945
7.0,0.0,5.0,15503.365983682379,219.93459012498235
7.0,0.0,6.0,15506.2695290799,214.71858638565612
7.0,0.0,7.0,15515.714958681714,218.6003270541123
7.0,0.0,8.0,15495.630552892548,217.5265769472198
7.0,0.0,9.0,15496.233020306041,219.79202760036057
7.0,0.0,10.0,15493.53290983856,217.0508575486674
7.0,1.0,1.0,15511.822843818805,241.5142536440028
7.0,1.0,2.0,15514.490886939766,242.08979238550566
7.0,1.0,3.0,15497.406346336847,242.26876567365946
7.0,1.0,4.0,15499.090227725601,245.79918214486293
7.0,1.0,5.0,15494.779577486832,213.00105791961894
7.0,1.0,6.0,15503.083608346604,246.34987632604236
7.0,1.0,7.0,15491.202642829941,241.8355485141137
7.0,1.0,8.0,15512.63619499654,243.67769535197775
7.0,1.0,9.0,15495.225281102139,247.32924476103253
7.0,1.0,10.0,15505.383692853025,242.46793476218832
8.0,0.0,1.0,15512.47351558801,211.3447433141678
8.0,0.0,2.0,15513.463814372488,213.37937606397406
8.0,0.0,3.0,15507.885014150419,215.16208032540806
8.0,0.0,4.0,15515.345380130955,216.2040457042264
8.0,0.0,5.0,15504.02004418778,218.0616605465672
8.0,0.0,6.0,15518.556491282285,215.54080817519247
8.0,0.0,7.0,15519.37585577312,214.58145508351478
8.0,0.0,8.0,15536.322881491305,213.41506894557097
8.0,0.0,9.0,15596.556580735982,202.23850901376122
8.0,0.0,10.0,15508.752654404096,214.11671432157385
8.0,1.0,1.0,15512.407639874038,240.8784605681263
8.0,1.0,2.0,15505.644976055506,238.37643437764896
8.0,1.0,3.0,15499.653131623956,253.7351362704501
8.0,1.0,4.0,15500.652877866,240.8573349569573
8.0,1.0,5.0,15515.036173983777,223.55646167876293
8.0,1.0,6.0,15504.486614074398,246.50540698944113
8.0,1.0,7.0,15491.884510837095,241.30421391843018
8.0,1.0,8.0,15497.777889599076,244.45680319486988
8.0,1.0,9.0,15498.028435971333,243.39019497967107
8.0,1.0,10.0,15503.078845170992,247.0253426346999
9.0,0.0,1.0,15551.716872693392,214.22835768061944
9.0,0.0,2.0,15529.230923435662,213.83435483056843
9.0,0.0,3.0,15509.334494917146,214.1968997975889
9.0,0.0,4.0,15506.116167024476,214.4976925003188
9.0,0.0,5.0,15503.881615789589,215.62256140804163
9.0,0.0,6.0,15517.560172170668,216.59864665273213
9.0,0.0,7.0,15505.210196134643,217.96626574453853
9.0,0.0,8.0,15502.943106364251,214.74194341865137
9.0,0.0,9.0,15500.132499767482,216.67003486066986
9.0,0.0,10.0,15499.139777459959,217.916754694934
9.0,1.0,1.0,15511.807096581717,239.70665666453158
9.0,1.0,2.0,15513.903201191795,243.97305351025295
9.0,1.0,3.0,15515.248532746707,244.02624918993985
9.0,1.0,4.0,15499.448198231423,240.3701493621708
9.0,1.0,5.0,15502.434674639879,241.48711554455252
9.0,1.0,6.0,15490.344375566072,244.05746673671416
9.0,1.0,7.0,15496.221707962646,248.14056561089922
9.0,1.0,8.0,15498.27425330512,246.56855139774603
9.0,1.0,9.0,15500.289754314304,244.48300206732225
9.0,1.0,10.0,15505.763266794003,239.58425652776205
10.0,0.0,1.0,15553.74973288336,214.53243059002102
10.0,0.0,2.0,15531.013746264485,213.6435375514351
10.0,0.0,3.0,15519.258317725576,215.05112977536905
10.0,0.0,4.0,15519.131971254339,215.52568636943073
10.0,0.0,5.0,15505.390357130009,215.82463392134994
10.0,0.0,6.0,15501.092571623201,217.0702979382852
10.0,0.0,7.0,15521.452292514648,218.19135680917358
10.0,0.0,8.0,15500.290633661745,217.4506101402346
10.0,0.0,9.0,15503.324048002229,214.92139150612402
10.0,0.0,10.0,15503.216383777606,215.62171022174874
10.0,1.0,1.0,15502.947520185851,235.71526010189976
10.0,1.0,2.0,15502.209582254665,232.81128715117313
10.0,1.0,3.0,15497.907385239112,239.1465713828411
10.0,1.0,4.0,15499.985543149598,240.0642597712909
10.0,1.0,5.0,15497.697845148065,231.1337017727153
10.0,1.0,6.0,15507.902683728033,256.6585740424038
10.0,1.0,7.0,15498.298614983441,241.48195764125992
10.0,1.0,8.0,15500.593063053504,246.81511641782683
10.0,1.0,9.0,15506.823455772146,241.8448653216327
10.0,1.0,10.0,15501.283004509018,223.86324244663604
